match_number,home_team,away_team,group,stage,stadium,match_date
1,Mexico,South Africa,Group A,Group Stage,Mexico City Stadium,2026-06-11
2,Korea Republic,Czechia,Group A,Group Stage,Estadio Guadalajara,2026-06-11
3,Canada,Bosnia and Herzegovina,Group B,Group Stage,Toronto Stadium,2026-06-12
4,USA,Paraguay,Group D,Group Stage,Los Angeles Stadium,2026-06-12
5,Haiti,Scotland,Group C,Group Stage,Boston Stadium,2026-06-13
6,Australia,Türkiye,Group D,Group Stage,BC Place Vancouver,2026-06-13
7,Brazil,Morocco,Group C,Group Stage,New York New Jersey Stadium,2026-06-13
8,Qatar,Switzerland,Group B,Group Stage,San Francisco Bay Area Stadium,2026-06-13
9,Côte d'Ivoire,Ecuador,Group E,Group Stage,Philadelphia Stadium,2026-06-14
10,Germany,Curaçao,Group E,Group Stage,Houston Stadium,2026-06-14
11,Netherlands,Japan,Group F,Group Stage,Dallas Stadium,2026-06-14
12,Sweden,Tunisia,Group F,Group Stage,Estadio Monterrey,2026-06-14
13,Saudi Arabia,Uruguay,Group H,Group Stage,Miami Stadium,2026-06-15
14,Spain,Cabo Verde,Group H,Group Stage,Atlanta Stadium,2026-06-15
15,IR Iran,New Zealand,Group G,Group Stage,Los Angeles Stadium,2026-06-15
16,Belgium,Egypt,Group G,Group Stage,Seattle Stadium,2026-06-15
17,France,Senegal,Group I,Group Stage,New York New Jersey Stadium,2026-06-16
18,Iraq,Norway,Group I,Group Stage,Boston Stadium,2026-06-16
19,Argentina,Algeria,Group J,Group Stage,Kansas City Stadium,2026-06-16
20,Austria,Jordan,Group J,Group Stage,San Francisco Bay Area Stadium,2026-06-16
21,Ghana,Panama,Group L,Group Stage,Toronto Stadium,2026-06-17
22,England,Croatia,Group L,Group Stage,Dallas Stadium,2026-06-17
23,Portugal,Congo DR,Group K,Group Stage,Houston Stadium,2026-06-17
24,Uzbekistan,Colombia,Group K,Group Stage,Mexico City Stadium,2026-06-17
25,Czechia,South Africa,Group A,Group Stage,Atlanta Stadium,2026-06-18
26,Switzerland,Bosnia and Herzegovina,Group B,Group Stage,Los Angeles Stadium,2026-06-18
27,Canada,Qatar,Group B,Group Stage,BC Place Vancouver,2026-06-18
28,Mexico,Korea Republic,Group A,Group Stage,Estadio Guadalajara,2026-06-18
29,Brazil,Haiti,Group C,Group Stage,Philadelphia Stadium,2026-06-19
30,Scotland,Morocco,Group C,Group Stage,Boston Stadium,2026-06-19
31,Türkiye,Paraguay,Group D,Group Stage,San Francisco Bay Area Stadium,2026-06-19
32,USA,Australia,Group D,Group Stage,Seattle Stadium,2026-06-19
33,Germany,Côte d'Ivoire,Group E,Group Stage,Toronto Stadium,2026-06-20
34,Ecuador,Curaçao,Group E,Group Stage,Kansas City Stadium,2026-06-20
35,Netherlands,Sweden,Group F,Group Stage,Houston Stadium,2026-06-20
36,Tunisia,Japan,Group F,Group Stage,Estadio Monterrey,2026-06-20
37,Uruguay,Cabo Verde,Group H,Group Stage,Miami Stadium,2026-06-21
38,Spain,Saudi Arabia,Group H,Group Stage,Atlanta Stadium,2026-06-21
39,Belgium,IR Iran,Group G,Group Stage,Los Angeles Stadium,2026-06-21
40,New Zealand,Egypt,Group G,Group Stage,BC Place Vancouver,2026-06-21
41,Norway,Senegal,Group I,Group Stage,New York New Jersey Stadium,2026-06-22
42,France,Iraq,Group I,Group Stage,Philadelphia Stadium,2026-06-22
43,Argentina,Austria,Group J,Group Stage,Dallas Stadium,2026-06-22
44,Jordan,Algeria,Group J,Group Stage,San Francisco Bay Area Stadium,2026-06-22
45,England,Ghana,Group L,Group Stage,Boston Stadium,2026-06-23
46,Panama,Croatia,Group L,Group Stage,Toronto Stadium,2026-06-23
47,Portugal,Uzbekistan,Group K,Group Stage,Houston Stadium,2026-06-23
48,Colombia,Congo DR,Group K,Group Stage,Estadio Guadalajara,2026-06-23
49,Scotland,Brazil,Group C,Group Stage,Miami Stadium,2026-06-24
50,Morocco,Haiti,Group C,Group Stage,Atlanta Stadium,2026-06-24
51,Switzerland,Canada,Group B,Group Stage,BC Place Vancouver,2026-06-24
52,Bosnia and Herzegovina,Qatar,Group B,Group Stage,Seattle Stadium,2026-06-24
