Stadium,Country,Location,Capacity,Opened,Info,Image_Filename,Image_URL
Toronto Stadium,Canada,"Toronto, Ontario, Canada",45000,2007,"Toronto Stadium was purpose-built as Canada hosted the FIFA U-20 World Cup 2007 and staged the final where Argentina emerged triumphant, with Sergio Aguero claiming the Golden Ball and Golden Boot. The venue, which has an English Premier League-style roof canopy and steep stands on either end of the ground, played host to the climax of Canada's campaign to reach the FIFA World Cup 2022, when their ticket to Qatar was secured with victory over Jamaica. The ground also has previous tournament experience, having also hosted the FIFA U-20 Women's World Cup in 2014.",Toronto_Stadium.jpg,https://digitalhub.fifa.com/transform/807f9b45-1a94-4a80-8755-5bfd06cfdd88/FIFA-2026-World-Cup-stadium-BMO-Field
BC Place Vancouver,Canada,"Vancouver, British Columbia, Canada",54000,1983,"Now into its fifth decade of existence, BC Place Vancouver remains a jaw-dropping piece of architecture situated on the banks of the False Creek inlet. The area – which has recently undergone renovations – is the home of MLS team Vancouver Whitecaps and the Canadian Football League's (CFL) BC Lions, and has also occasionally hosted the Canada national team. One of the most memorable matches at BC Place Vancouver came when the venue hosted the final of the FIFA Women's World Cup 2015, where USA defeated defending champions Japan 5-2, thanks in no small part to a three-goal haul from Carli Lloyd inside the opening 15 minutes.",BC_Place_Vancouver.jpg,https://digitalhub.fifa.com/transform/4f485a1d-f21f-4dfd-b120-eb2b02e79c6d/A-general-view-of-the-exterior-of-BC-Place-Vancouver-one-of-the-stadiums-being-used-for-FIFA-World-Cup-2026
Mexico City Stadium,Mexico,"Mexico City, Mexico",83000,1966,"A true coliseum of world football and the first to host a third FIFA World Cup, Mexico City Stadium – which welcomed the likes of Pele and Diego Maradona across two pulsating World Cup finals in 1970 and 1986 – will once again take centre stage. The arena's day job is to host Club America of Liga MX as well as the Mexico national team, while Cruz Azul, Pumas, Atlante, Atletico Espanyol and Necaxa have all previously played their football here. Mexico City Stadium was the venue for the final of the FIFA U-17 World Cup in 2011, when a capacity crowd of 98,943 set the record for the number of supporters at any game in the history of the prestigious youth tournament.",Mexico_City_Stadium.jpg,https://digitalhub.fifa.com/transform/c9c5b0fa-5362-41ef-b4a9-1b17cef69408/MEXICO-CITY-MEXICO-MAY-30-Aerial-view-of-Azteca-stadium-prior-the-Final-second-leg-match-between-Cruz-Azul-and-Santos-Laguna-as-part-of-the-Torneo-Guard1anes-2021-Liga-MX-at-Azteca-Stadium-on-May-30-2021-in-Mexico-City-Mexico-Photo-by-Hector-Vivas-Getty-Images
Estadio Guadalajara,Mexico,"Zapopan, Jalisco, Mexico",48000,2010,"Built on raised ground and with a spherical, coliseum-like design, Estadio Guadalajara is certainly one of the more eye-catching venues set to hold matches at the FIFA World Cup in 2026. Inaugurated in 2010, the stadium is home during the regular season to C.D. Guadalajara, who have enjoyed their fair share of success there. The men's team secured their historic double title campaign, league and cup of the Clausura 2017 tournament, and the 2018 Concacaf Champions League victory, as well as the 2023 Clausura, while the two titles of the women's team in 2017 and 2022 add to the trophy haul. Estadio Guadalajara was one of the main venues for the FIFA U-17 World Cup in 2011 and hosted the Pan-American Games the same year.",Estadio_Guadalajara.jpg,https://digitalhub.fifa.com/transform/551b0e79-4de4-4d13-be75-3d0407951977/FIFA-World-Cup-Stadium-Estadio-Akron
Estadio Monterrey,Mexico,"Guadalupe, Nuevo Leon, Mexico",53500,2015,"Mexican side Monterrey play their football in this modern-day marvel, which is equipped with compact energy solutions and low voltage equipment. The ground was the first in the Americas to earn a silver certification from the Leadership in Energy & Environmental Design (LEED) following its unveiling in 2015. As well as being the home of Monterrey throughout the Liga MX season, the venue also hosted eight games at the 2022 Concacaf W Championship, including USA's 1-0 final victory over Canada. Coldplay, Bad Bunny and Justin Bieber have performed at the ground in its opening decade.",Estadio_Monterrey.jpg,https://digitalhub.fifa.com/transform/estadio-monterrey
Atlanta Stadium,USA,"Atlanta, Georgia, USA",75000,2017,"Atlanta Stadium was designed with supporters in mind and delivers an award-winning fan experience. Standing at over 300 feet high, it features a one-of-a-kind retractable roof, first-of-its-kind 360-degree halo video display and has been lauded as the most sustainable stadium in the world. The stadium is home to Atlanta United of Major League Soccer (MLS) and the National Football League's (NFL) Atlanta Falcons. Since opening in 2017, the stadium has hosted the biggest events in the United States, including the MLS All-Star Game, College Football Play-off National Championship Game, Super Bowl LIII, numerous international friendlies, and concerts from global superstars. The Atlanta venue played host to five FIFA Club World Cup 2025 matches, including three Group Stage fixtures, two Round of 16 games, and the thrilling quarter-final showdown between Paris Saint-Germain and FC Bayern München.",Atlanta_Stadium.jpg,https://digitalhub.fifa.com/transform/1f7fa74e-f080-4e58-a667-2d2d27073cfa/Paris-Saint-Germain-v-FC-Bayern-Munchen-Quarter-final-FIFA-Club-World-Cup-2025
Boston Stadium,USA,"Foxborough, Massachusetts, USA",65000,2002,"Boston Stadium has undergone a major renovation project ahead of the 2026 tournament. The ground now boasts the largest outdoor high-definition stadium video board in the country (measuring 22,000 square feet), 50,000-square feet of glass-enclosed hospitality and function spaces, 360-degree connectivity between all levels of the concourses and more. Boston Stadium, which houses MLS side New England Revolution and NFL outfit New England Patriots, has hosted numerous soccer fixtures over the years, including the FIFA Women's World Cup 2003, Copa America Centenario, Concacaf Gold Cup and International Champions Cup, and is a regular concert venue for major artists.",Boston_Stadium.jpg,https://digitalhub.fifa.com/transform/ef3e79cd-f30f-4b5c-912f-5d9762f1dd7b/FWC-stadiums-Boston-Gillette
Dallas Stadium,USA,"Arlington, Texas, USA",94000,2009,"Dallas Stadium is a jaw-dropping example of stadium architecture, providing a once-in-a-lifetime visitor experience for both sport and music events, while boasting several pieces of incredible artwork and 25,000 square feet of video displays inside. Since opening in 2009, the venue has been the home of five-time Super Bowl winners the Dallas Cowboys, and has also hosted the Concacaf Gold Cup and Mexico national team matches down the years. Other major events at Dallas Stadium include Super Bowl XLV, the 2015 College Football Playoff National Championship game, the 2018 NFL Draft, Big 12 Championship games, Cotton Bowl Classic, NCAA Men's Final Four, AMA Supercross Championship and multiple world championship boxing matches.",Dallas_Stadium.jpg,https://digitalhub.fifa.com/transform/87ec691a-746b-4e25-a1eb-646ffad7014d/FWC-26-Stadiums-AT-T-Dallas
Houston Stadium,USA,"Houston, Texas, USA",72000,2002,"A host of the MLS All-Star game, national team fixtures of both USA and Mexico, as well as three games at the Copa America Centenario in 2016, Houston Stadium has plenty of football pedigree and will surely gather more ahead of 2026. Opened in 2002, the ground, which is also home to the famous Houston Rodeo, has a retractable roof and is famed for its Bull Pen section, which houses the loudest section of NFL side Houston Texans' home support.",Houston_Stadium.jpg,https://digitalhub.fifa.com/transform/b6858094-2992-474b-b087-f1e6710fac14/FWC-2026-Stadium-Houston-NRG-stadium
Kansas City Stadium,USA,"Kansas City, Missouri, USA",73000,1972,"Kansas City Stadium is certified by Guinness World Records as the loudest outdoor sports venue in the world and hosted a record five consecutive NFL Conference Championships from 2019-23. The arena, which is the home of the NFL Kansas City Chiefs, reached a record-breaking decibel level of 142.2 when the Chiefs took on the New England Patriots in 2014. Known as the soccer capital of America, Kansas City is home to two-time MLS champions Sporting KC and 2022 National Women's Soccer League (NWSL) finalists KC Current and is a bi-state metropolitan area that straddles the state line between Missouri and Kansas.",Kansas_City_Stadium.jpg,https://digitalhub.fifa.com/transform/824599e6-7b94-4b58-9fd4-4c3081aaf51f/FWWC-2023-Arrowhead-Stadium
